"DMS_Project"

"Time      "	".A1.Translational_Displacement.Y"	".D1.Translational_Displacement.Y"	".M1.Translational_Displacement.Y"	".O1.Translational_Displacement.Y"	".H7.Translational_Displacement.Y"	".N5.Translational_Displacement.Y"	".C2.Translational_Displacement.Y"	".G2.Translational_Displacement.Y"	".K3.Translational_Displacement.Y"
1.010000e+00	-2.799216e+00	-1.148815e+00	-1.979210e+00	-1.646749e-11	-2.000000e-01	-8.000000e-01	-2.184335e+00	-2.617356e-01	-3.115356e+00
1.020000e+00	-2.790097e+00	-1.140278e+00	-1.973477e+00	-1.644196e-11	-2.000000e-01	-8.000000e-01	-2.175906e+00	-2.528223e-01	-3.101047e+00
1.030000e+00	-2.780628e+00	-1.131443e+00	-1.967519e+00	-1.631162e-11	-2.000000e-01	-8.000000e-01	-2.167254e+00	-2.433453e-01	-3.085781e+00
1.040000e+00	-2.770812e+00	-1.122317e+00	-1.961338e+00	-1.608802e-11	-2.000000e-01	-8.000000e-01	-2.158381e+00	-2.333257e-01	-3.069566e+00
1.050000e+00	-2.760656e+00	-1.112909e+00	-1.954938e+00	-1.578293e-11	-2.000000e-01	-8.000000e-01	-2.149288e+00	-2.227859e-01	-3.052411e+00
1.060000e+00	-2.750165e+00	-1.103225e+00	-1.948322e+00	-1.540923e-11	-2.000000e-01	-8.000000e-01	-2.139976e+00	-2.117496e-01	-3.034330e+00
1.070000e+00	-2.739343e+00	-1.093273e+00	-1.941491e+00	-1.497780e-11	-2.000000e-01	-8.000000e-01	-2.130442e+00	-2.002413e-01	-3.015340e+00
1.080000e+00	-2.728197e+00	-1.083061e+00	-1.934450e+00	-1.449973e-11	-2.000000e-01	-8.000000e-01	-2.120687e+00	-1.882861e-01	-2.995462e+00
1.090000e+00	-2.716730e+00	-1.072596e+00	-1.927200e+00	-1.398726e-11	-2.000000e-01	-8.000000e-01	-2.110709e+00	-1.759094e-01	-2.974720e+00
1.100000e+00	-2.704948e+00	-1.061885e+00	-1.919746e+00	-1.344880e-11	-2.000000e-01	-8.000000e-01	-2.100506e+00	-1.631367e-01	-2.953145e+00
1.110000e+00	-2.692858e+00	-1.050936e+00	-1.912089e+00	-1.289302e-11	-2.000000e-01	-8.000000e-01	-2.090077e+00	-1.499933e-01	-2.930771e+00
1.120000e+00	-2.680463e+00	-1.039755e+00	-1.904233e+00	-1.232814e-11	-2.000000e-01	-8.000000e-01	-2.079422e+00	-1.365046e-01	-2.907636e+00
1.130000e+00	-2.667770e+00	-1.028350e+00	-1.896181e+00	-1.176059e-11	-2.000000e-01	-8.000000e-01	-2.068538e+00	-1.226952e-01	-2.883783e+00
1.140000e+00	-2.654783e+00	-1.016728e+00	-1.887937e+00	-1.119704e-11	-2.000000e-01	-8.000000e-01	-2.057425e+00	-1.085896e-01	-2.859258e+00
1.150000e+00	-2.641508e+00	-1.004896e+00	-1.879502e+00	-1.064038e-11	-2.000000e-01	-8.000000e-01	-2.046084e+00	-9.421133e-02	-2.834111e+00
1.160000e+00	-2.627951e+00	-9.928605e-01	-1.870881e+00	-1.009659e-11	-2.000000e-01	-8.000000e-01	-2.034514e+00	-7.958360e-02	-2.808393e+00
1.170000e+00	-2.614117e+00	-9.806287e-01	-1.862076e+00	-9.567902e-12	-2.000000e-01	-8.000000e-01	-2.022717e+00	-6.472876e-02	-2.782158e+00
1.180000e+00	-2.600012e+00	-9.682074e-01	-1.853091e+00	-9.056755e-12	-2.000000e-01	-8.000000e-01	-2.010695e+00	-4.966841e-02	-2.755458e+00
