"DMS_Project"

"Time      "	".A1.Translational_Displacement.X"	".D1.Translational_Displacement.X"	".M1.Translational_Displacement.X"	".O1.Translational_Displacement.X"	".H7.Translational_Displacement.X"	".N5.Translational_Displacement.X"	".C2.Translational_Displacement.X"	".G2.Translational_Displacement.X"	".K3.Translational_Displacement.X"
6.500000e-01	1.953423e+00	1.879999e+00	1.220511e+00	1.264300e-11	4.000000e-01	1.000000e-01	1.692946e+00	1.708937e+00	2.434389e+00
6.600000e-01	1.945495e+00	1.876644e+00	1.214920e+00	1.178257e-11	4.000000e-01	1.000000e-01	1.701790e+00	1.693905e+00	2.423170e+00
6.700000e-01	1.938111e+00	1.873512e+00	1.209714e+00	1.083023e-11	4.000000e-01	1.000000e-01	1.711060e+00	1.678953e+00	2.412210e+00
6.800000e-01	1.931285e+00	1.870611e+00	1.204903e+00	9.801049e-12	4.000000e-01	1.000000e-01	1.720731e+00	1.664119e+00	2.401528e+00
6.900000e-01	1.925030e+00	1.867947e+00	1.200495e+00	8.713696e-12	4.000000e-01	1.000000e-01	1.730781e+00	1.649442e+00	2.391144e+00
7.000000e-01	1.919360e+00	1.865528e+00	1.196499e+00	7.588374e-12	4.000000e-01	1.000000e-01	1.741182e+00	1.634961e+00	2.381084e+00
7.100000e-01	1.914285e+00	1.863359e+00	1.192924e+00	6.451062e-12	4.000000e-01	1.000000e-01	1.751909e+00	1.620715e+00	2.371376e+00
7.200000e-01	1.909817e+00	1.861448e+00	1.189776e+00	5.326850e-12	4.000000e-01	1.000000e-01	1.762932e+00	1.606742e+00	2.362052e+00
7.300000e-01	1.905966e+00	1.859797e+00	1.187064e+00	4.243050e-12	4.000000e-01	1.000000e-01	1.774221e+00	1.593080e+00	2.353147e+00
7.400000e-01	1.902739e+00	1.858414e+00	1.184791e+00	3.229417e-12	4.000000e-01	1.000000e-01	1.785746e+00	1.579766e+00	2.344701e+00
7.500000e-01	1.900143e+00	1.857300e+00	1.182963e+00	0.000000e+00	4.000000e-01	1.000000e-01	1.797473e+00	1.566838e+00	2.336757e+00
7.600000e-01	1.898185e+00	1.856459e+00	1.181584e+00	2.220446e-16	4.000000e-01	1.000000e-01	1.809367e+00	1.554331e+00	2.329361e+00
7.700000e-01	1.896869e+00	1.855893e+00	1.180657e+00	2.220446e-16	4.000000e-01	1.000000e-01	1.821393e+00	1.542282e+00	2.322563e+00
7.800000e-01	1.896197e+00	1.855604e+00	1.180184e+00	0.000000e+00	4.000000e-01	1.000000e-01	1.833513e+00	1.530725e+00	2.316411e+00
7.900000e-01	1.896172e+00	1.855593e+00	1.180166e+00	-2.220446e-16	4.000000e-01	1.000000e-01	1.845689e+00	1.519696e+00	2.310959e+00
8.000000e-01	1.896792e+00	1.855860e+00	1.180603e+00	-2.220446e-16	4.000000e-01	1.000000e-01	1.857879e+00	1.509227e+00	2.306257e+00
8.100000e-01	1.898057e+00	1.856403e+00	1.181494e+00	0.000000e+00	4.000000e-01	1.000000e-01	1.870045e+00	1.499350e+00	2.302357e+00
8.200000e-01	1.899964e+00	1.857223e+00	1.182837e+00	0.000000e+00	4.000000e-01	1.000000e-01	1.882144e+00	1.490097e+00	2.299307e+00
8.300000e-01	1.902509e+00	1.858315e+00	1.184629e+00	-2.220446e-16	4.000000e-01	1.000000e-01	1.894134e+00	1.481496e+00	2.297153e+00
